lat,lng,nome_ti,FASE,pop_idg_2022,pop_idg_2010,crescimento_2010_2022,var_pct
1.9907852054587742,-59.867913620849926,Jacamim,Regularizada,1174.0,1518.0,-344.0,-22.66
3.2084935212465875,-60.291338055629055,Jabuti,Regularizada,450.0,307.0,143.0,46.58
3.269550278641917,-61.405302496066845,Mangueira,Regularizada,113.0,80.0,33.0,41.25
2.9488440925740793,-60.07952132258552,Manoa/Pium,Regularizada,2695.0,1999.0,696.0,34.82
3.494590620661117,-60.67177566880879,Ouro,Regularizada,290.0,179.0,111.0,62.01
3.4026893451338656,-61.10472913486335,Pium,Regularizada,379.0,305.0,74.0,24.26
3.6055146544772385,-60.88022519941397,Ponta da Serra,Regularizada,300.0,168.0,132.0,78.57
2.8839444816794013,-61.314388627201666,Raimundão,Regularizada,545.0,351.0,194.0,55.27
4.173108826852033,-61.36633612856954,Santa Inez,Regularizada,229.0,157.0,72.0,45.86
3.251583482123714,-60.686825429955306,Serra da Moça,Regularizada,676.0,477.0,199.0,41.72
2.9685113077875056,-61.15786239954651,Sucuba,Regularizada,448.0,212.0,236.0,111.32
3.2333458348236173,-60.97324173817772,Truaru,Regularizada,430.0,354.0,76.0,21.47
1.3923922320382551,-59.63923017952106,Waiwái,Regularizada,500.0,289.0,211.0,73.01
-6.6899870967446455,-35.00191716465512,Potiguara,Regularizada,10960.0,8715.0,2245.0,25.76
-9.146111214104947,-38.20207854727693,Pankararu,Regularizada,7293.0,5365.0,1928.0,35.94
-23.174191076054278,-55.20428432678435,Aldeia Limão Verde,Regularizada,2086.0,1092.0,994.0,91.03
-22.853309304000195,-55.20210137614366,Guaimbé,Regularizada,426.0,443.0,-17.0,-3.84
-22.849482112931994,-55.117985304467076,Rancho Jacaré,Regularizada,431.0,445.0,-14.0,-3.15
-22.008327533729982,-56.04052927223748,Pirakua,Regularizada,375.0,473.0,-98.0,-20.72
-23.95517691932871,-55.28398691317579,Pirajuí,Regularizada,1797.0,2029.0,-232.0,-11.43
-23.069434710817752,-55.18672878056245,Amambai,Regularizada,6861.0,5468.0,1393.0,25.48
-23.786574284227978,-54.58758307386131,Porto Lindo,Regularizada,3706.0,3909.0,-203.0,-5.19
-23.593067281799975,-54.767240843426585,Sassoró,Regularizada,2255.0,2763.0,-508.0,-18.39
-23.21716632449961,-55.433164817016994,Taquaperi,Regularizada,3144.0,2578.0,566.0,21.96
-21.15755571901217,-55.73867890964617,Nioaque,Regularizada,1430.0,1288.0,142.0,11.02
-20.334428682744836,-55.690495645917586,Limão Verde,Regularizada,1127.0,1164.0,-37.0,-3.18
-20.256748721285845,-56.07164826714318,Taunay-Ipegue,Regularizada,3380.0,4047.0,-667.0,-16.48
-20.254943799166853,-56.36270904336185,Pilad Rebuá,Regularizada,2374.0,2028.0,346.0,17.06
-20.578082755562544,-56.27897075602239,Lalima,Regularizada,1322.0,1317.0,5.0,0.38
-20.189095490597207,-56.27627040105295,Cachoeirinha,Regularizada,3399.0,3255.0,144.0,4.42
-22.597192255481563,-54.96500307610644,Caarapó,Regularizada,4414.0,4283.0,131.0,3.06
-22.170766615907905,-54.83632532800532,Dourados,Regularizada,13473.0,11138.0,2335.0,20.96
4.097877383449122,-51.59408795569159,Jumina,Regularizada,,122.0,,
-12.739524531263237,-59.93204318095968,Pirineus de Souza,Regularizada,372.0,279.0,93.0,33.33
-10.574080141159405,-59.97228386684093,Aripuanã,Regularizada,376.0,311.0,65.0,20.9
-10.958575367631285,-61.18893764468771,Sete de Setembro,Regularizada,1443.0,1048.0,395.0,37.69
-10.63694918540998,-50.67890307576157,Tapirapé/Karajá,Regularizada,545.0,397.0,148.0,37.28
-13.648329813176176,-58.27091183108984,Utiariti,Regularizada,686.0,406.0,280.0,68.97
-13.1402702474798,-58.41633989372092,Tirecatinga,Regularizada,241.0,174.0,67.0,38.51
